image_id,nucleus_id,area,perimeter,circularity,eccentricity,compactness,image_class
400,1,85.345,7.0486,0.2159,0.501,0.2159,SCC
400,2,11.795,2.6021,0.2189,0.9586,0.2189,SCC
400,3,28.74,3.4902,0.2965,0.9427,0.2965,SCC
400,4,11.625,1.7647,0.4691,0.9069,0.4691,SCC
400,5,41.175,8.5319,0.0711,0.6024,0.0711,Negative for intraepithelial lesion
400,6,7.37,2.5382,0.1438,0.8652,0.1438,Negative for intraepithelial lesion
400,7,18.29,4.2033,0.1301,0.8791,0.1301,LSIL
400,8,42.685,5.2755,0.1927,0.746,0.1927,LSIL
400,9,29.645,5.6252,0.1177,0.8465,0.1177,HSIL
400,10,35.865,6.0032,0.1251,0.7198,0.1251,ASC-H
400,11,33.77,6.1704,0.1115,0.706,0.1115,ASC-H
400,12,50.06,5.135,0.2386,0.5734,0.2386,ASC-H
400,13,74.41,5.2985,0.3331,0.7983,0.3331,ASC-H
400,14,62.415,4.8084,0.3392,0.8355,0.3392,ASC-H
400,15,37.815,3.0958,0.4958,0.824,0.4958,ASC-H
400,16,46.685,6.6826,0.1314,0.693,0.1314,ASC-H
400,17,55.955,3.7889,0.4898,0.8797,0.4898,ASC-H
400,18,65.36,8.0533,0.1266,0.5905,0.1266,LSIL
400,19,85.72,5.8971,0.3098,0.3987,0.3098,LSIL
400,20,85.71,5.6059,0.3427,0.578,0.3427,LSIL
400,21,81.92,5.3371,0.3614,0.6213,0.3614,LSIL
400,22,62.32,4.6508,0.3621,0.7815,0.3621,LSIL
400,23,62.18,3.8817,0.5186,0.7801,0.5186,LSIL
400,24,49.09,4.7979,0.268,0.9319,0.268,LSIL
400,25,56.01,4.5453,0.3407,0.3874,0.3407,HSIL
400,26,49.78,7.2036,0.1206,0.7647,0.1206,HSIL
400,27,55.825,6.1749,0.184,0.5709,0.184,ASC-H
400,28,66.315,4.6835,0.3799,0.738,0.3799,ASC-H
400,29,80.69,5.5316,0.3314,0.4312,0.3314,ASC-H
400,30,63.59,5.909,0.2289,0.6356,0.2289,ASC-H
400,31,74.775,6.8017,0.2031,0.4385,0.2031,ASC-H
400,32,93.29,5.1017,0.4504,0.9556,0.4504,ASC-H
400,33,91.715,4.8075,0.4987,0.6077,0.4987,ASC-H
400,34,30.86,4.1048,0.2302,0.8538,0.2302,ASC-H
400,35,9.895,1.9158,0.3388,0.9363,0.3388,LSIL
400,36,35.795,4.0809,0.2701,0.8021,0.2701,ASC-H
400,37,7.355,1.7633,0.2973,0.8869,0.2973,LSIL
400,38,28.535,4.1995,0.2033,0.8002,0.2033,ASC-H
400,39,38.715,4.5946,0.2305,0.553,0.2305,ASC-H
400,40,55.395,6.268,0.1772,0.8046,0.1772,ASC-H
400,41,76.625,8.7145,0.1268,0.2491,0.1268,LSIL
400,42,76.155,4.8595,0.4053,0.5037,0.4053,LSIL
400,43,69.31,5.6642,0.2715,0.642,0.2715,Negative for intraepithelial lesion
400,44,11.915,1.7124,0.5106,0.614,0.5106,Negative for intraepithelial lesion
400,45,70.08,7.4104,0.1604,0.3499,0.1604,SCC
400,46,3.1,0.8028,0.6044,0.8295,0.6044,Negative for intraepithelial lesion
400,47,10.495,2.6524,0.1875,0.9452,0.1875,Negative for intraepithelial lesion
399,48,22.955,4.2326,0.161,0.9289,0.161,SCC
399,49,26.97,4.4242,0.1732,0.9538,0.1732,SCC
399,50,13.595,2.7484,0.2262,0.6227,0.2262,SCC
399,51,43.485,5.4514,0.1839,0.7662,0.1839,SCC
399,52,55.035,5.95,0.1953,0.8725,0.1953,SCC
399,53,11.155,2.4001,0.2433,0.9551,0.2433,SCC
399,54,11.9,3.0439,0.1614,0.957,0.1614,SCC
399,55,38.675,3.1421,0.4923,0.8846,0.4923,LSIL
399,56,50.13,5.2739,0.2265,0.687,0.2265,LSIL
399,57,45.485,7.1709,0.1112,0.4579,0.1112,SCC
399,58,36.225,4.7106,0.2051,0.8716,0.2051,SCC
399,59,34.975,5.8163,0.1299,0.5859,0.1299,SCC
399,60,10.265,1.6744,0.4601,0.9005,0.4601,SCC
399,61,22.01,2.9322,0.3217,0.7326,0.3217,Negative for intraepithelial lesion
399,62,17.945,3.3809,0.1973,0.2999,0.1973,Negative for intraepithelial lesion
399,63,16.89,2.5411,0.3287,0.8373,0.3287,Negative for intraepithelial lesion
399,64,31.27,2.9025,0.4664,0.7183,0.4664,Negative for intraepithelial lesion
399,65,8.595,1.6081,0.4177,0.7443,0.4177,SCC
399,66,13.68,1.5188,0.7452,0.809,0.7452,SCC
399,67,58.645,6.0666,0.2002,0.7113,0.2002,Negative for intraepithelial lesion
399,68,26.345,3.3298,0.2986,0.8466,0.2986,HSIL
399,69,31.35,3.9516,0.2523,0.7989,0.2523,HSIL
399,70,60.345,7.7288,0.1269,0.6189,0.1269,HSIL
399,71,19.93,3.6908,0.1839,0.6978,0.1839,HSIL
399,72,24.545,3.9546,0.1972,0.7227,0.1972,HSIL
399,73,15.66,2.8085,0.2495,0.9795,0.2495,SCC
399,74,30.245,4.1981,0.2157,0.8038,0.2157,SCC
399,75,25.79,3.1308,0.3306,0.5934,0.3306,HSIL
399,76,26.28,5.7967,0.0983,0.7561,0.0983,HSIL
399,77,25.015,3.7243,0.2266,0.7098,0.2266,HSIL
399,78,19.295,3.1835,0.2392,0.6401,0.2392,SCC
399,79,35.645,5.248,0.1626,0.9228,0.1626,SCC
399,80,53.59,7.2836,0.1269,0.6399,0.1269,SCC
399,81,46.075,4.1643,0.3339,0.7228,0.3339,HSIL
399,82,91.86,4.592,0.5474,0.9888,0.5474,LSIL
399,83,78.245,6.534,0.2303,0.292,0.2303,LSIL
399,84,72.135,6.012,0.2508,0.6177,0.2508,LSIL
399,85,30.58,4.9373,0.1576,0.7294,0.1576,LSIL
399,86,17.08,3.5128,0.1739,0.7439,0.1739,LSIL
399,87,59.085,6.8323,0.1591,0.5417,0.1591,LSIL
398,88,5.0,1.9899,0.1587,0.9214,0.1587,Negative for intraepithelial lesion
398,89,5.215,2.1007,0.1485,0.9322,0.1485,Negative for intraepithelial lesion
398,90,10.165,2.1661,0.2722,0.658,0.2722,Negative for intraepithelial lesion
398,91,21.025,3.7981,0.1832,0.8578,0.1832,Negative for intraepithelial lesion
398,92,68.3,3.3683,0.7565,0.9948,0.7565,Negative for intraepithelial lesion
398,93,43.265,6.94,0.1129,0.4638,0.1129,SCC
398,94,10.155,2.0812,0.2946,0.9481,0.2946,SCC
398,95,16.75,3.1576,0.2111,0.9532,0.2111,SCC
398,96,26.135,3.3795,0.2876,0.939,0.2876,SCC
398,97,51.675,2.8364,0.8072,0.3911,0.8072,LSIL
398,98,47.35,2.7105,0.8099,0.3927,0.8099,LSIL
398,99,18.475,4.43,0.1183,0.6468,0.1183,ASC-US
398,100,20.645,4.6266,0.1212,0.5598,0.1212,ASC-US
398,101,23.04,4.0233,0.1789,0.8234,0.1789,SCC
398,102,17.29,3.8845,0.144,0.873,0.144,SCC
398,103,16.65,3.4625,0.1745,0.8797,0.1745,SCC
398,104,14.81,3.1459,0.188,0.8378,0.188,SCC
398,105,13.065,2.4021,0.2845,0.9723,0.2845,SCC
398,106,17.905,3.7112,0.1634,0.6321,0.1634,SCC
398,107,15.68,2.3997,0.3422,0.9839,0.3422,SCC
398,108,29.765,6.4806,0.0891,0.7453,0.0891,SCC
398,109,16.16,4.1136,0.12,0.9756,0.12,SCC
398,110,45.09,6.3442,0.1408,0.8072,0.1408,SCC
398,111,58.285,5.8514,0.2139,0.6132,0.2139,SCC
398,112,33.92,5.087,0.1647,0.6349,0.1647,HSIL
398,113,15.45,3.7853,0.1355,0.6621,0.1355,HSIL
398,114,16.445,3.1332,0.2105,0.7281,0.2105,LSIL
398,115,57.12,7.0719,0.1435,0.6877,0.1435,LSIL
398,116,14.7,3.6965,0.1352,0.884,0.1352,HSIL
